           Date        Open        High         Low       Close   Adj Close    Volume  Sentiment
143  2019-07-29  210.000000  210.000000  208.419998  208.610001  208.610001   2834100   0.000000
144  2019-07-30  207.889999  208.360001  206.860001  207.809998  207.809998   1977500   0.000000
145  2019-07-31  207.800003  209.500000  205.300003  205.429993  205.429993   4631800   0.000000
146  2019-08-01  205.630005  206.979996  201.490005  201.710007  201.710007   4823100   0.000000
147  2019-08-02  201.789993  204.429993  199.419998  202.669998  202.669998   5695300   0.000000
148  2019-08-05  199.899994  201.100006  197.160004  197.729996  197.729996   7606200   0.000000
149  2019-08-06  199.610001  200.929993  197.899994  200.550003  200.550003   5500500   0.000000
150  2019-08-07  198.559998  199.300003  195.399994  198.210007  198.210007   5325600   0.000000
151  2019-08-08  199.929993  200.869995  198.119995  200.520004  200.520004   4143400   0.000000
152  2019-08-09  200.190002  200.550003  197.669998  199.050003  199.050003   4334400   0.000000
153  2019-08-12  197.610001  199.470001  196.910004  197.179993  197.179993   2538800   0.000000
154  2019-08-13  197.460007  201.000000  196.500000  198.779999  198.779999   3913600   0.000000
155  2019-08-14  195.779999  197.250000  195.610001  195.809998  195.809998   5838200   0.000000
156  2019-08-15  197.080002  199.039993  196.380005  198.309998  198.309998   4642900  -0.557400
157  2019-08-16  200.500000  200.880005  198.550003  199.720001  199.720001   4786200   0.000000
158  2019-08-19  202.720001  203.100006  200.380005  200.940002  200.940002   4216500   0.000000
159  2019-08-20  200.270004  200.289993  198.020004  198.149994  198.149994   4043000   0.000000
160  2019-08-21  199.009995  199.770004  198.710007  199.240005  199.240005   3531800   0.000000
161  2019-08-22  199.800003  201.869995  199.800003  201.009995  201.009995   3214300   0.159100
162  2019-08-23  200.190002  200.919998  195.960007  197.160004  197.160004   5946700   0.000000
163  2019-08-26  198.699997  200.199997  197.440002  200.199997  200.199997   3094900   0.000000
164  2019-08-27  200.759995  201.300003  198.039993  198.350006  198.350006   3069000   0.000000
165  2019-08-28  198.020004  200.570007  197.529999  200.449997  200.449997   3404900   0.000000
166  2019-08-29  201.710007  203.800003  201.660004  203.199997  203.199997   3328100   0.000000
167  2019-08-30  204.020004  204.350006  202.729996  203.410004  203.410004   3632000   0.000000
168  2019-09-03  201.190002  201.830002  200.190002  200.899994  200.899994   3637000   0.000000
169  2019-09-04  202.729996  202.940002  201.300003  202.190002  202.190002   3209100   0.000000
170  2019-09-05  204.130005  206.220001  203.770004  204.240005  204.240005   3968800   0.000000
171  2019-09-06  204.440002  205.149994  203.860001  204.729996  204.729996   3409400   0.000000
172  2019-09-09  205.509995  207.800003  205.199997  206.619995  206.619995   4565000   0.000000
173  2019-09-10  207.309998  208.309998  206.130005  208.309998  208.309998   3878300   0.000000
174  2019-09-11  208.270004  210.929993  207.529999  210.910004  210.910004   4437300   0.000000
175  2019-09-12  211.000000  212.679993  210.720001  211.369995  211.369995   4598400   0.000000
176  2019-09-13  212.240005  214.580002  212.220001  213.610001  213.610001   4244700   0.000000
177  2019-09-16  212.059998  212.100006  209.940002  210.330002  210.330002   3472600   0.000000
178  2019-09-17  210.350006  211.160004  208.679993  210.149994  210.149994   3862700   0.000000
179  2019-09-18  209.889999  211.320007  209.119995  210.899994  210.899994   2732800   0.000000
180  2019-09-19  210.779999  211.440002  208.899994  209.220001  209.220001   2735500   0.709600
181  2019-09-20  210.369995  210.369995  207.270004  208.119995  208.119995  10700800   0.000000
182  2019-09-23  207.020004  208.529999  206.399994  207.960007  207.960007   3075800   0.000000
183  2019-09-24  208.169998  208.889999  205.740005  206.399994  206.399994   3709800   0.000000
184  2019-09-25  206.500000  209.440002  206.229996  208.110001  208.110001   3291900   0.000000
185  2019-09-26  208.190002  208.190002  206.350006  206.899994  206.899994   2823000   0.440400
186  2019-09-27  207.729996  208.639999  206.539993  207.449997  207.449997   2843500   0.000000
187  2019-09-30  207.770004  208.699997  207.529999  208.020004  208.020004   3167500   0.000000
188  2019-10-01  208.940002  209.660004  206.440002  206.710007  206.710007   3511800   0.000000
189  2019-10-02  206.089996  206.089996  202.380005  203.100006  203.100006   5938500   0.000000
190  2019-10-03  202.649994  205.089996  201.330002  204.979996  204.979996   4307600   0.000000
191  2019-10-04  205.089996  208.279999  205.050003  208.080002  208.080002   3571900   0.000000
192  2019-10-07  207.360001  209.600006  206.190002  207.240005  207.240005   2720600   0.000000
193  2019-10-08  205.619995  206.139999  203.929993  204.089996  204.089996   4185500   0.000000
194  2019-10-09  204.940002  207.229996  204.729996  206.690002  206.690002   3206900   0.000000
195  2019-10-10  206.369995  208.190002  206.080002  206.860001  206.860001   2979200   0.000000
196  2019-10-11  208.970001  210.080002  207.729996  208.080002  208.080002   4408400   0.000000
197  2019-10-14  208.009995  208.070007  206.929993  207.910004  207.910004   1902600   0.000000
198  2019-10-15  207.729996  210.149994  207.570007  209.380005  209.380005   3055400   0.000000
199  2019-10-16  208.369995  209.970001  208.369995  209.289993  209.289993   3233900   0.493900
200  2019-10-17  209.259995  209.979996  208.509995  208.619995  208.619995   3575400   0.000000
201  2019-10-18  208.449997  209.619995  208.199997  208.759995  208.759995   3581400   0.000000
202  2019-10-21  210.000000  211.539993  209.759995  211.490005  211.490005   3337300   0.000000
203  2019-10-22  211.029999  211.970001  210.470001  210.619995  210.619995   2716800   0.000000
204  2019-10-23  210.500000  211.009995  209.539993  210.960007  210.960007   2413800   0.000000
205  2019-10-24  211.160004  211.320007  209.720001  210.259995  210.259995   3147200   0.000000
206  2019-10-25  209.869995  212.330002  209.750000  211.800003  211.800003   2539200   0.000000
207  2019-10-28  212.309998  213.339996  212.139999  212.860001  212.860001   3521900   0.000000
208  2019-10-29  212.380005  213.169998  211.610001  213.009995  213.009995   2630400   0.202300
209  2019-10-30  212.990005  213.429993  211.669998  213.250000  213.250000   3296900   0.000000
210  2019-10-31  213.009995  213.710007  211.539993  212.580002  212.580002   4305500   0.000000
211  2019-11-01  213.550003  216.630005  213.399994  215.830002  215.830002   4777800   0.000000
212  2019-11-04  217.770004  218.619995  216.979996  217.979996  217.979996   4149200   0.000000
213  2019-11-05  218.690002  221.679993  218.429993  220.880005  220.880005   5321800   0.000000
214  2019-11-06  221.089996  222.029999  220.110001  222.000000  222.000000   3662900   0.000000
215  2019-11-07  222.809998  223.369995  221.669998  222.740005  222.740005   4394900   0.000000
216  2019-11-08  222.750000  223.000000  219.889999  221.309998  221.309998   3346100   0.000000
217  2019-11-11  220.199997  221.089996  219.869995  220.850006  220.850006   2380400   0.000000
218  2019-11-12  220.979996  222.190002  220.539993  220.889999  220.889999   2657700   0.000000
219  2019-11-13  219.720001  220.270004  218.610001  219.770004  219.770004   3190700   0.000000
220  2019-11-14  219.770004  219.869995  217.910004  219.360001  219.360001   2831200   0.000000
221  2019-11-15  220.179993  220.429993  218.740005  219.740005  219.740005   3477000   0.000000
222  2019-11-18  219.949997  220.050003  218.389999  219.350006  219.350006   3894200   0.000000
223  2019-11-19  219.929993  220.000000  218.779999  219.029999  219.029999   3378100   0.000000
224  2019-11-20  218.009995  218.369995  216.009995  217.479996  217.479996   4966000   0.000000
225  2019-11-21  217.300003  217.710007  216.300003  216.630005  216.630005   3707600   0.000000
226  2019-11-22  216.960007  217.990005  216.800003  217.960007  217.960007   2392800   0.000000
227  2019-11-25  218.740005  219.389999  218.259995  219.059998  219.059998   3648500   0.000000
228  2019-11-26  219.110001  219.199997  217.720001  218.899994  218.899994   3717800   0.000000
229  2019-11-27  219.250000  220.589996  218.479996  220.500000  220.500000   3945500   0.000000
230  2019-11-29  220.500000  220.580002  219.830002  220.300003  220.300003   2256500   0.000000
231  2019-12-02  220.600006  221.380005  220.110001  220.330002  220.330002   3888100   0.318200
232  2019-12-03  218.820007  218.899994  216.399994  218.080002  218.080002   4480100   0.000000
233  2019-12-04  217.949997  218.880005  217.539993  218.399994  218.399994   2667700   0.000000
234  2019-12-05  218.990005  219.750000  218.050003  219.600006  219.600006   2319300   0.000000
235  2019-12-06  221.639999  223.000000  221.330002  222.610001  222.610001   3447700   0.000000
236  2019-12-09  222.710007  223.300003  221.190002  221.380005  221.380005   2601000   0.000000
237  2019-12-10  222.070007  222.070007  220.210007  221.259995  221.259995   2688900   0.000000
238  2019-12-11  221.210007  222.649994  221.009995  222.570007  222.570007   3546600   0.000000
239  2019-12-12  222.880005  226.520004  222.529999  225.919998  225.919998   5121900   0.000000
240  2019-12-13  225.919998  226.500000  223.960007  225.369995  225.369995   3160500   0.000000
241  2019-12-16  226.770004  227.809998  226.289993  226.850006  226.850006   4278800   0.000000
242  2019-12-17  227.270004  228.229996  226.550003  227.050003  227.050003   4867400   0.458800
243  2019-12-18  227.059998  227.199997  224.889999  225.009995  225.009995   5962300   0.000000
244  2019-12-19  224.660004  225.660004  224.160004  225.210007  225.210007   4432600   0.000000
245  2019-12-20  226.240005  227.800003  225.559998  226.309998  226.309998  11572200   0.000000
246  2019-12-23  226.610001  226.669998  224.929993  225.479996  225.479996   3504100   0.000000
247  2019-12-24  225.240005  225.649994  224.880005  225.470001  225.470001    961100   0.000000
248  2019-12-26  225.919998  226.509995  225.639999  226.449997  226.449997   1725700   0.000000
249  2019-12-27  226.860001  226.970001  225.570007  226.139999  226.139999   2769400  -0.153100
250  2019-12-30  226.139999  226.600006  224.669998  225.759995  225.759995   2769700   0.000000
251  2019-12-31  226.160004  226.720001  225.139999  226.500000  226.500000   3145200   0.000000
